lot_id,lot_name,permit,enforcement_days,posted_restrictions,enforcement_start,enforcement_end
109,Lot 4a,,Weekdays,Unrestricted after 4PM,16:00:00,23:59:00
110,Lot 4b,,Weekends,Unrestricted after 4PM,0:00:00,23:59:00
111,Lot 4b,,Weekdays,Unrestricted after 4PM,0:00:00,2:59:00
112,Lot 4b,,Weekdays,Unrestricted after 4PM,3:00:00,4:59:00
113,Lot 4b,,Weekdays,Unrestricted after 4PM,5:00:00,6:59:00
114,Lot 4b,,Weekdays,Unrestricted after 4PM,7:00:00,15:59:00
115,Lot 4b,,Weekdays,Unrestricted after 4PM,16:00:00,23:59:00
116,Lot 4h,,Weekdays,Unrestricted after 4PM,0:00:00,2:59:00
117,Lot 4h,,Weekdays,Unrestricted after 4PM,3:00:00,4:59:00
118,Lot 4h,,Weekdays,Unrestricted after 4PM,5:00:00,6:59:00
119,Lot 4h,,Weekdays,Unrestricted after 4PM,7:00:00,15:59:00
120,Lot 4h,,Weekdays,Unrestricted after 4PM,16:00:00,23:59:00
121,Lot 4k,,Weekdays,Unrestricted after 4PM,7:00:00,16:00:00
122,Lot 4m,,Weekends,Unrestricted after 4PM,0:00:00,23:59:00
123,Lot 4m,,Weekdays,Unrestricted after 4PM,0:00:00,2:59:00
124,Lot 4m,,Weekdays,Unrestricted after 4PM,3:00:00,4:59:00
125,Lot 4m,,Weekdays,Unrestricted after 4PM,5:00:00,6:59:00
126,Lot 4m,,Weekdays,Unrestricted after 4PM,7:00:00,15:59:00
127,Lot 4m,,Weekdays,Unrestricted after 4PM,16:00:00,23:59:00
128,Lot 4n,,Weekends,Unrestricted after 4PM,0:00:00,23:59:00
129,Lot 4n,,Weekdays,Unrestricted after 4PM,0:00:00,2:59:00
130,Lot 4n,,Weekdays,Unrestricted after 4PM,3:00:00,4:59:00
131,Lot 4n,,Weekdays,Unrestricted after 4PM,5:00:00,6:59:00
132,Lot 4n,,Weekdays,Unrestricted after 4PM,7:00:00,15:59:00
133,Lot 4n,,Weekdays,Unrestricted after 4PM,16:00:00,23:59:00
134,Lot 6,,Weekends,Unrestricted after 4PM,0:00:00,23:59:00
135,Lot 6,,Weekdays,Unrestricted after 4PM,0:00:00,2:59:00
136,Lot 6,,Weekdays,Unrestricted after 4PM,3:00:00,4:59:00
137,Lot 6,,Weekdays,Unrestricted after 4PM,5:00:00,6:59:00
138,Lot 6,,Weekdays,Unrestricted after 4PM,7:00:00,15:59:00
139,Lot 6,,Weekdays,Unrestricted after 4PM,16:00:00,23:59:00
140,Lot 8,,Always,24-Hour restricted,0:00:00,0:00:00
141,Lot 9b,,Weekends,Unrestricted after 4PM,0:00:00,23:59:00
142,Lot 9b,,Weekdays,Unrestricted after 4PM,0:00:00,2:59:00
143,Lot 9b,,Weekdays,Unrestricted after 4PM,3:00:00,4:59:00
144,Lot 9b,,Weekdays,Unrestricted after 4PM,5:00:00,6:59:00
145,Lot 9b,,Weekdays,Unrestricted after 4PM,7:00:00,15:59:00
146,Lot 9b,,Weekdays,Unrestricted after 4PM,16:00:00,23:59:00
147,Lot V,,Always,Unrestricted after 4PM,7:00:00,0:00:00
148,R2,,Always,24-Hour restricted,0:00:00,0:00:00
149,MM,,Always,24-Hour restricted,0:00:00,0:00:00
150,MM,,Weekends,24-Hour restricted,0:00:00,0:00:00
151,MM,,Weekdays,24-Hour restricted,16:00:00,7:00:00
152,Meter/Pay Station Area,,Always,Visitor,7:00:00,0:00:00
153,Motorcycle,,Always,Miscellaneous Permissions,0:00:00,0:00:00
154,Mowatt Lane Garage,,Always,Miscellaneous Permissions,7:00:00,0:00:00
155,Mowatt Visitor,,Always,Visitor,7:00:00,0:00:00
156,N1/4/6/8/9,,Always,24-Hour restricted,0:00:00,0:00:00
157,N1/4/6/8/9,,Weekends,24-Hour restricted,0:00:00,0:00:00
158,N1/4/6/8/9,,Weekdays,24-Hour restricted,16:00:00,7:00:00
159,N3/7,,Weekends,Restricted after 4PM,0:00:00,0:00:00
160,N3/7,,Weekdays,Restricted after 4PM,7:00:00,16:00:00
161,N3/7,,Weekdays,Restricted after 4PM,16:00:00,7:00:00
162,N5,,Weekends,Unrestricted after 4PM,0:00:00,0:00:00
163,N5,,Weekdays,Unrestricted after 4PM,7:00:00,16:00:00
164,N5,,Weekdays,Unrestricted after 4PM,16:00:00,7:00:00
165,NN,,Weekdays,Unrestricted after 4PM,7:00:00,16:00:00
166,O1/3,,Weekends,Restricted after 4PM,0:00:00,0:00:00
167,O1/3,,Weekdays,Restricted after 4PM,7:00:00,16:00:00
168,O1/3,,Weekdays,Restricted after 4PM,16:00:00,7:00:00
169,O5,,Weekdays,Unrestricted after 4PM,7:00:00,16:00:00
170,P,,Weekdays,Unrestricted after 4PM,7:00:00,16:00:00
171,PH1,,Always,Unrestricted after 4PM,0:00:00,0:00:00
172,PH2,,Weekends,24-Hour restricted,0:00:00,0:00:00
173,PH2,,Weekdays,24-Hour restricted,16:00:00,7:00:00
174,Q,,Weekends,Unrestricted after 4PM,0:00:00,0:00:00
175,Q,,Weekdays,Unrestricted after 4PM,7:00:00,16:00:00
176,Q,,Weekdays,Unrestricted after 4PM,16:00:00,20:00:00
177,Q1,,Weekends,Modified restricted,0:00:00,0:00:00
178,Q1,,Weekdays,Modified restricted,7:00:00,16:00:00
179,Q1,,Weekdays,Modified restricted,16:00:00,20:00:00
180,QQ,,Weekends,Restricted after 4PM,0:00:00,0:00:00
181,QQ,,Weekdays,Restricted after 4PM,7:00:00,16:00:00
182,QQ,,Weekdays,Restricted after 4PM,16:00:00,7:00:00
183,R,,Always,24-Hour restricted,0:00:00,0:00:00
184,R,,Weekends,24-Hour restricted,0:00:00,0:00:00
185,R,,Weekdays,24-Hour restricted,16:00:00,7:00:00
186,RR,,Weekdays,Unrestricted after 4PM,7:00:00,16:00:00
187,Regents Drive Garage,,Always,Unrestricted after 4PM,7:00:00,0:00:00
188,S3/4,,Weekends,Restricted after 4PM,0:00:00,0:00:00
189,S3/4,,Weekdays,Restricted after 4PM,7:00:00,16:00:00
190,S3/4,,Weekdays,Restricted after 4PM,16:00:00,7:00:00
191,S7/8,,Always,24-Hour restricted,0:00:00,0:00:00
192,S7/8,,Weekends,24-Hour restricted,0:00:00,0:00:00
193,S7/8,,Weekdays,24-Hour restricted,16:00:00,7:00:00
194,S9,,Weekends,Unrestricted after 4PM,0:00:00,0:00:00
195,S9,,Weekdays,Unrestricted after 4PM,7:00:00,16:00:00
196,S9,,Weekdays,Unrestricted after 4PM,16:00:00,7:00:00
197,SA,,Always,Miscellaneous Permissions,0:00:00,0:00:00
198,SDG,,Always,24-Hour restricted,0:00:00,0:00:00
199,SDStar,,Always,Miscellaneous Permissions,0:00:00,0:00:00
200,SS,,Always,24-Hour restricted,0:00:00,0:00:00
201,SS,,Weekends,24-Hour restricted,0:00:00,0:00:00
202,SS,,Weekdays,24-Hour restricted,16:00:00,7:00:00
203,Stadium Drive Garage,,Weekdays,Miscellaneous Permissions,0:00:00,6:59:00
204,Stadium Drive Garage,,Weekdays,Miscellaneous Permissions,7:00:00,23:59:00
205,Student Summer,,Always,,0:00:00,0:00:00
206,T,,Weekends,Restricted after 4PM,0:00:00,0:00:00
207,T,,Weekdays,Restricted after 4PM,7:00:00,16:00:00
208,T,,Weekdays,Restricted after 4PM,16:00:00,7:00:00
209,TT,,Always,24-Hour restricted,0:00:00,0:00:00
210,TT,,Weekends,24-Hour restricted,0:00:00,0:00:00
211,TT,,Weekdays,24-Hour restricted,16:00:00,7:00:00
212,TV,,Weekends,Special Restrictions,0:00:00,0:00:00
213,TV,,Weekdays,Special Restrictions,7:00:00,16:00:00
214,TV,,Weekdays,Special Restrictions,16:00:00,7:00:00
215,U1,,Always,24-Hour restricted,0:00:00,0:00:00
216,U2,,Always,Unrestricted after 4PM,0:00:00,0:00:00
217,UU,,Weekdays,Unrestricted after 4PM,7:00:00,16:00:00
218,Union Lane Garage,,Always,Miscellaneous Permissions,7:00:00,0:00:00
219,V,,Always,Unrestricted after 4PM,0:00:00,0:00:00
220,VM,,Always,Miscellaneous Permissions,0:00:00,0:00:00
221,W,,Weekends,Restricted after 4PM,0:00:00,0:00:00
